04:01:13,0,0,0
04:01:13,0,0,0
04:01:17,0,0,0
04:01:21,6,0,100
04:01:25,141,0,100
04:01:29,240,0,100
04:01:33,211,0,100
04:01:37,241,0,100
04:01:41,194,0,100
04:01:45,263,0,100
04:01:49,278,0,100
04:01:53,228,0,100
04:01:57,209,0,100
04:02:01,231,0,100
04:02:06,260,0,100
04:02:10,351,0,100
04:02:14,459,0,100
04:02:18,443,0,100
04:02:22,583,0,100
04:02:27,445,0,100
04:02:31,502,0,100
04:02:35,291,274,51
04:02:39,269,574,31
04:02:44,271,629,30
04:02:48,321,598,34
04:02:52,309,614,33
04:02:56,241,601,28
04:03:00,298,688,30
04:03:05,284,592,32
04:03:09,379,647,36
04:03:14,367,673,35
04:03:18,342,693,33
04:03:22,311,602,34
04:03:26,321,469,40
04:03:30,291,270,51
04:03:35,384,0,100
04:03:39,86,0,100
04:03:43,0,0,0
04:03:47,0,0,0
04:03:51,0,0,0
04:03:55,0,0,0
04:03:59,0,0,0
04:04:03,0,0,0
04:04:07,0,0,0
04:04:11,0,0,0
04:04:15,0,0,0
04:04:19,0,0,0
04:04:23,0,0,0
